entry_type,path,methods,formal_guard,legacy_authorization,versioned_reexport,dynamic_object,write_method,database_touch,external_touch,demo_or_fixture,capability_off,classification,compatibility_test_count,compatibility_tests
api_route,src/app/api/institution/wecom-official-dry-run/evaluate/route.ts,POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComOfficialDryRunApiRoute.test.ts
api_route,src/app/api/institution/wecom-official-dry-run/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,5,src/app/api/institution/wecom-official-dry-run/route.test.ts|src/modules/institution/tests/V1WeComOfficialDryRunCompatibilityApiRoute.test.ts|src/modules/institution/tests/WeComDryRunSnapshotApiRoute.test.ts|src/modules/institution/tests/WeComOfficialDryRunApiRoute.test.ts|src/modules/institution/tests/WeComOfficialDryRunConfigApiRoute.test.ts
api_route,src/app/api/institution/wecom-official-internal-message-proof/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComOfficialInternalMessageProofApiRoute.test.ts
api_route,src/app/api/institution/wecom-official-secret-precheck/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComOfficialSecretPrecheckApiRoute.test.ts
api_route,src/app/api/institution/wecom/customer-mapping-candidates/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,4,src/app/api/institution/wecom/customer-mapping-candidates/route.test.ts|src/modules/institution/tests/WeComCustomerMappingCandidatesApiRoute.test.ts|src/modules/institution/tests/WeComCustomerMappingCandidatesReadonlyPanel.test.tsx|src/modules/institution/tests/WeComCustomerMappingReadWriteBridge.test.ts
api_route,src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/route.ts,POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,3,src/modules/institution/tests/WeComCustomerMappingCandidatesApiRoute.test.ts|src/modules/institution/tests/WeComCustomerMappingReadWriteBridge.test.ts|src/modules/institution/tests/WeComCustomerMappingReviewActionsApiRoute.test.ts
api_route,src/app/api/institution/wecom/external-contacts/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,3,src/app/api/institution/wecom/external-contacts/route.test.ts|src/modules/institution/tests/WeComExternalContactReadonlyApiRoute.test.ts|src/modules/institution/tests/WeComExternalContactReadonlyPanel.test.tsx
api_route,src/app/api/v1/institution/ai-models/route.ts,GET,false,false,false,false,false,false,false,true,false,demo_or_fixture,1,src/modules/institution/tests/InstitutionAiModelsRoute.test.ts
api_route,src/app/api/v1/institution/wecom-official-dry-run/route.ts,none,false,false,true,false,false,false,false,false,false,versioned_reexport,1,src/modules/institution/tests/V1WeComOfficialDryRunCompatibilityApiRoute.test.ts
page,src/app/hospital/[...slug]/page.tsx,server_render,true,false,false,true,false,false,false,false,true,formal_guarded_page,0,
page,src/app/hospital/page.tsx,server_render,true,false,false,false,false,false,false,false,true,formal_guarded_page,0,
