chain_names,source_path,source_owner,target_path,target_owner,specifier,detection_kinds,source_kind,target_kind,runtime_reachable,source_runtime_boundary,target_runtime_boundary,evidence
shared_types_services,src/app/hospital/page.tsx,__src_app__,src/modules/security/server/institution-request-authorization.ts,security,@/modules/security/server/institution-request-authorization,static_import_or_export,production,production,yes,no,yes,src/app/hospital/page.tsx -> @/modules/security/server/institution-request-authorization
shared_types_services,src/app/open-platform/page.tsx,__src_app__,src/modules/auth/components/DemoSessionGate.tsx,auth,@/modules/auth/components/DemoSessionGate,static_import_or_export,production,production,yes,no,yes,src/app/open-platform/page.tsx -> @/modules/auth/components/DemoSessionGate
knowledge_workbench,src/app/open-platform/page.tsx,__src_app__,src/modules/workspace/components/PlatformConsole.tsx,workspace,@/modules/workspace/components/PlatformConsole,static_import_or_export,production,production,yes,no,no,src/app/open-platform/page.tsx -> @/modules/workspace/components/PlatformConsole
shared_types_services,src/modules/audit/server/audit-event-dto.ts,audit,src/server/db/schema.ts,__src_server__,@/server/db/schema,static_import_or_export,production,production,yes,yes,yes,src/modules/audit/server/audit-event-dto.ts -> @/server/db/schema
shared_types_services,src/modules/audit/server/audit-event-repository.ts,audit,src/modules/institution/domain/followup-path-analysis.ts,institution,@/modules/institution/domain/followup-path-analysis,static_import_or_export,production,production,yes,yes,no,src/modules/audit/server/audit-event-repository.ts -> @/modules/institution/domain/followup-path-analysis
shared_types_services,src/modules/audit/server/audit-event-repository.ts,audit,src/server/db/client.ts,__src_server__,@/server/db/client,static_import_or_export,production,production,yes,yes,yes,src/modules/audit/server/audit-event-repository.ts -> @/server/db/client
shared_types_services,src/modules/audit/server/audit-event-repository.ts,audit,src/server/db/schema.ts,__src_server__,@/server/db/schema,static_import_or_export,production,production,yes,yes,yes,src/modules/audit/server/audit-event-repository.ts -> @/server/db/schema
shared_types_services,src/modules/audit/tests/AuditEventRepository.test.ts,audit,src/server/db/client.ts,__src_server__,@/server/db/client,static_import_or_export,test,production,no,yes,yes,src/modules/audit/tests/AuditEventRepository.test.ts -> @/server/db/client
shared_types_services,src/modules/audit/tests/AuditEventRepository.test.ts,audit,src/server/db/schema.ts,__src_server__,@/server/db/schema,static_import_or_export,test,production,no,yes,yes,src/modules/audit/tests/AuditEventRepository.test.ts -> @/server/db/schema
shared_types_services,src/modules/audit/tests/AuditEventsDomain.test.ts,audit,src/modules/security/domain/access-control.ts,security,@/modules/security/domain/access-control,static_import_or_export,test,production,no,no,no,src/modules/audit/tests/AuditEventsDomain.test.ts -> @/modules/security/domain/access-control
