file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,institution_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase23_eligible,phase23_block_reason
src/modules/institution/tests/WeComDryRunSnapshotApiRoute.test.ts,test,wecom,212,no,4,4,1,0,1,0,0,0,0,no,,database；environment；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComDryRunSnapshotService.test.ts,test,wecom,259,no,3,2,2,2,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComExternalContactReadonlyApiRoute.test.ts,test,wecom,116,no,4,4,1,0,1,0,0,0,0,no,,database；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComExternalContactReadonlyDomain.test.ts,test,wecom,448,no,3,2,2,2,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComExternalContactReadonlyPanel.test.tsx,test,wecom,191,no,4,4,2,2,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComOfficialDryRunApiRoute.test.ts,test,wecom,314,no,5,5,2,0,2,0,0,0,0,no,,database；environment；network；next_runtime；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComOfficialDryRunConfigApiRoute.test.ts,test,wecom,91,no,4,4,1,0,1,0,0,0,0,no,,database；network；next_runtime；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComOfficialDryRunConfigDomain.test.ts,test,wecom,196,no,2,2,1,1,0,0,0,0,0,no,,environment；network；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComOfficialDryRunDomain.test.ts,test,wecom,195,no,2,2,1,1,0,0,0,0,0,no,,environment；network；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComOfficialInternalMessageProofApiRoute.test.ts,test,wecom,215,no,4,4,1,0,1,0,0,0,0,no,,environment；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComOfficialInternalMessageProofDomain.test.ts,test,wecom,259,no,2,2,1,1,0,0,0,0,0,no,,environment；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComOfficialSecretPrecheckApiRoute.test.ts,test,wecom,213,no,4,4,1,0,1,0,0,0,0,no,,environment；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComOfficialSecretPrecheckDomain.test.ts,test,wecom,178,no,2,2,1,1,0,0,0,0,0,no,,environment；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,test,wecom,380,no,13,8,9,8,1,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；cross_module_outbound
src/modules/institution/tests/WeComRealSendProofDomain.test.ts,test,wecom,261,no,2,2,1,1,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,test,wecom,162,no,8,6,3,1,2,0,0,0,0,no,,database,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComRealSendProofService.test.ts,test,wecom,445,no,7,5,4,3,1,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/view-models/wecom-customer-mapping-candidates-reader.ts,other,wecom,31,no,1,1,1,1,0,2,1,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/view-models/wecom-customer-mapping-candidates.ts,other,wecom,911,no,2,1,2,2,0,5,1,1,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/view-models/wecom-external-contact-readonly-view-model.ts,other,wecom,255,no,2,1,2,2,0,2,1,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
