source_path,target_path,specifier,import_kind,scope,source_module,target_module,source_role,target_role,source_owner,target_owner,reverse_dependency,cycle_edge,risk
src/modules/institution/view-models/wecom-customer-mapping-candidates.ts,src/modules/institution/domain/wecom-customer-mapping-review-actions.ts,@/modules/institution/domain/wecom-customer-mapping-review-actions,runtime,institution_internal,institution,institution,other,domain,wecom,wecom,no,no,low
src/modules/institution/view-models/wecom-customer-mapping-candidates.ts,src/modules/institution/domain/wecom-customer-mapping-review.ts,@/modules/institution/domain/wecom-customer-mapping-review,type,institution_internal,institution,institution,other,domain,wecom,wecom,no,no,low
src/modules/institution/view-models/wecom-external-contact-readonly-view-model.ts,src/modules/institution/domain/wecom-external-contact-readonly.ts,@/modules/institution/domain/wecom-external-contact-readonly,runtime,institution_internal,institution,institution,other,domain,wecom,wecom,no,no,low
src/modules/institution/view-models/wecom-external-contact-readonly-view-model.ts,src/modules/institution/domain/wecom-external-contact-readonly.ts,@/modules/institution/domain/wecom-external-contact-readonly,type,institution_internal,institution,institution,other,domain,wecom,wecom,no,no,low
src/modules/open-platform/domain/wecom-customer-data-governance.ts,src/modules/institution/domain/wecom-external-contact-readonly.ts,@/modules/institution/domain/wecom-external-contact-readonly,runtime,cross_module_internal,open-platform,institution,domain,domain,wecom,wecom,no,no,medium
src/modules/open-platform/domain/wecom-customer-data-governance.ts,src/modules/institution/domain/wecom-external-contact-readonly.ts,@/modules/institution/domain/wecom-external-contact-readonly,type,cross_module_internal,open-platform,institution,domain,domain,wecom,wecom,no,no,medium
src/modules/open-platform/server/package-ai-quota-readonly.ts,src/modules/institution/domain/package-ai-quota-contract.ts,@/modules/institution/domain/package-ai-quota-contract,runtime,cross_module_internal,open-platform,institution,server_service,domain,entitlement,entitlement,no,no,medium
src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,src/modules/institution/server/knowledge-quota-usage-service.ts,@/modules/institution/server/knowledge-quota-usage-service,runtime,cross_module_internal,open-platform,institution,server_service,server_service,knowledge,knowledge,no,no,medium
src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,src/modules/institution/server/tenant-quota-enforcement.ts,@/modules/institution/server/tenant-quota-enforcement,runtime,cross_module_internal,open-platform,institution,server_service,server_service,knowledge,entitlement,no,no,medium
src/modules/open-platform/server/platform-knowledge-indexing-job-service.ts,src/modules/institution/domain/quota-enforcement.ts,@/modules/institution/domain/quota-enforcement,type,cross_module_internal,open-platform,institution,server_service,domain,knowledge,entitlement,no,no,medium
src/modules/open-platform/server/platform-knowledge-indexing-job-service.ts,src/modules/institution/server/knowledge-quota-usage-service.ts,@/modules/institution/server/knowledge-quota-usage-service,runtime,cross_module_internal,open-platform,institution,server_service,server_service,knowledge,knowledge,no,no,medium
src/modules/open-platform/server/platform-knowledge-indexing-job-service.ts,src/modules/institution/server/tenant-quota-enforcement.ts,@/modules/institution/server/tenant-quota-enforcement,runtime,cross_module_internal,open-platform,institution,server_service,server_service,knowledge,entitlement,no,no,medium
src/modules/open-platform/tests/PlatformKnowledgeDocumentParsingService.test.ts,src/modules/institution/server/institution-knowledge-file-parsing-service.ts,@/modules/institution/server/institution-knowledge-file-parsing-service,runtime,cross_module_internal,open-platform,institution,test,server_service,knowledge,knowledge,no,no,medium
src/modules/open-platform/tests/PlatformKnowledgeFileManagementService.test.ts,src/modules/institution/server/institution-knowledge-file-management-service.ts,@/modules/institution/server/institution-knowledge-file-management-service,runtime,cross_module_internal,open-platform,institution,test,server_service,knowledge,knowledge,no,no,medium
src/modules/open-platform/tests/TenantAccountManagementApiRoute.test.ts,src/modules/institution/server/tenant-quota-enforcement.ts,@/modules/institution/server/tenant-quota-enforcement,runtime,cross_module_internal,open-platform,institution,test,server_service,shared,entitlement,no,no,medium
src/modules/open-platform/tests/TenantPlanBindingApiRoute.test.ts,src/modules/institution/domain/quota-enforcement.ts,@/modules/institution/domain/quota-enforcement,runtime,cross_module_internal,open-platform,institution,test,domain,shared,entitlement,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/client/tenant-business-client.ts,@/modules/institution/client/tenant-business-client,runtime,cross_module_internal,workspace,institution,component,client,shared,shared,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/AppointmentCenterShell.tsx,@/modules/institution/components/AppointmentCenterShell,runtime,cross_module_internal,workspace,institution,component,component,shared,appointment,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/CustomerCenterShell.tsx,@/modules/institution/components/CustomerCenterShell,runtime,cross_module_internal,workspace,institution,component,component,shared,customer,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,@/modules/institution/components/HisConnectionReadOnlyPanel,runtime,cross_module_internal,workspace,institution,component,component,shared,his,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/InstitutionAiServiceUsageShell.tsx,@/modules/institution/components/InstitutionAiServiceUsageShell,runtime,cross_module_internal,workspace,institution,component,component,shared,entitlement,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/InstitutionAuditEventsShell.tsx,@/modules/institution/components/InstitutionAuditEventsShell,runtime,cross_module_internal,workspace,institution,component,component,shared,audit,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,@/modules/institution/components/InstitutionKnowledgeReadonlyShell,runtime,cross_module_internal,workspace,institution,component,component,shared,knowledge,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/InstitutionPageState.tsx,@/modules/institution/components/InstitutionPageState,runtime,cross_module_internal,workspace,institution,component,component,shared,shared,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/OpportunityPoolShell.tsx,@/modules/institution/components/OpportunityPoolShell,runtime,cross_module_internal,workspace,institution,component,component,shared,opportunity,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/SmartFollowUpShell.tsx,@/modules/institution/components/SmartFollowUpShell,runtime,cross_module_internal,workspace,institution,component,component,shared,followup,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/TreatmentSummaryManagementShell.tsx,@/modules/institution/components/TreatmentSummaryManagementShell,runtime,cross_module_internal,workspace,institution,component,component,shared,treatment,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/WeComCustomerMappingCandidatesReadonlyPanel.tsx,@/modules/institution/components/WeComCustomerMappingCandidatesReadonlyPanel,runtime,cross_module_internal,workspace,institution,component,component,shared,wecom,no,no,medium
src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/institution/components/WeComExternalContactReadonlyPanel.tsx,@/modules/institution/components/WeComExternalContactReadonlyPanel,runtime,cross_module_internal,workspace,institution,component,component,shared,wecom,no,no,medium
src/modules/workspace/domain/institution-dashboard-view-models.ts,src/modules/institution/domain/appointment-records.ts,@/modules/institution/domain/appointment-records,type,cross_module_internal,workspace,institution,domain,domain,dashboard,appointment,no,no,medium
src/modules/workspace/domain/institution-dashboard-view-models.ts,src/modules/institution/domain/customer-records.ts,@/modules/institution/domain/customer-records,type,cross_module_internal,workspace,institution,domain,domain,dashboard,customer,no,no,medium
src/modules/workspace/domain/institution-dashboard-view-models.ts,src/modules/institution/domain/followup-workflow.ts,@/modules/institution/domain/followup-workflow,type,cross_module_internal,workspace,institution,domain,domain,dashboard,followup,no,no,medium
src/modules/workspace/domain/institution-dashboard-view-models.ts,src/modules/institution/domain/tenant-business-view-models.ts,@/modules/institution/domain/tenant-business-view-models,runtime,cross_module_internal,workspace,institution,domain,domain,dashboard,ai,no,no,medium
src/modules/workspace/tests/V1BusinessClosedLoopReadonly.test.ts,src/modules/institution/domain/treatment-followup-suggestions.ts,@/modules/institution/domain/treatment-followup-suggestions,runtime,cross_module_internal,workspace,institution,test,domain,shared,followup,no,no,medium
src/modules/workspace/tests/WorkspaceDashboardDomain.test.ts,src/modules/institution/domain/appointment-records.ts,@/modules/institution/domain/appointment-records,type,cross_module_internal,workspace,institution,test,domain,dashboard,appointment,no,no,medium
src/modules/workspace/tests/WorkspaceDashboardDomain.test.ts,src/modules/institution/domain/customer-records.ts,@/modules/institution/domain/customer-records,type,cross_module_internal,workspace,institution,test,domain,dashboard,customer,no,no,medium
src/modules/workspace/tests/WorkspaceDashboardDomain.test.ts,src/modules/institution/domain/followup-workflow.ts,@/modules/institution/domain/followup-workflow,type,cross_module_internal,workspace,institution,test,domain,dashboard,followup,no,no,medium
src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,src/modules/institution/domain/appointment-records.ts,@/modules/institution/domain/appointment-records,type,cross_module_internal,workspace,institution,test,domain,shared,appointment,no,no,medium
src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,src/modules/institution/domain/customer-records.ts,@/modules/institution/domain/customer-records,type,cross_module_internal,workspace,institution,test,domain,shared,customer,no,no,medium
