source,target,import_specifier,edge_scope,source_role,target_role,reverse_dependency,cycle_edge
src/app/api/v1/open-platform/knowledge-management/vector-search/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/vector-search/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/package-ai-quota/route.ts,src/modules/open-platform/server/package-ai-quota-readonly.ts,@/modules/open-platform/server/package-ai-quota-readonly,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/plan-catalog/[planId]/versions/route.ts,src/modules/open-platform/server/plan-catalog-service.ts,@/modules/open-platform/server/plan-catalog-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/plan-catalog/_shared.ts,src/modules/open-platform/server/plan-catalog-repository.ts,@/modules/open-platform/server/plan-catalog-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/plan-catalog/route.ts,src/modules/open-platform/server/plan-catalog-service.ts,@/modules/open-platform/server/plan-catalog-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/publish/route.ts,src/modules/open-platform/server/plan-catalog-service.ts,@/modules/open-platform/server/plan-catalog-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/retire/route.ts,src/modules/open-platform/server/plan-catalog-service.ts,@/modules/open-platform/server/plan-catalog-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/route.ts,src/modules/open-platform/server/plan-catalog-service.ts,@/modules/open-platform/server/plan-catalog-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/provider-configs/route.ts,src/modules/open-platform/domain/vendor-catalog.ts,@/modules/open-platform/domain/vendor-catalog,project_inbound,other,domain,no,no
src/app/api/v1/open-platform/provider-configs/route.ts,src/modules/open-platform/server/vendorProviderConfig.ts,@/modules/open-platform/server/vendorProviderConfig,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/provider-configs/route.ts,src/modules/open-platform/server/vendorProviderConfigRepository.ts,@/modules/open-platform/server/vendorProviderConfigRepository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/provider-configs/route.ts,src/modules/open-platform/server/vendorProviderConfigTypes.ts,@/modules/open-platform/server/vendorProviderConfigTypes,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/provider-configs/smoke/route.ts,src/modules/open-platform/domain/vendor-catalog.ts,@/modules/open-platform/domain/vendor-catalog,project_inbound,other,domain,no,no
src/app/api/v1/open-platform/provider-configs/smoke/route.ts,src/modules/open-platform/server/vendorProviderConfigRepository.ts,@/modules/open-platform/server/vendorProviderConfigRepository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/provider-configs/smoke/route.ts,src/modules/open-platform/server/vendorProviderSmoke.ts,@/modules/open-platform/server/vendorProviderSmoke,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/tenant-plan-options/route.ts,src/modules/open-platform/server/tenant-plan-binding-repository.ts,@/modules/open-platform/server/tenant-plan-binding-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/tenant-plan-options/route.ts,src/modules/open-platform/server/tenant-plan-binding-service.ts,@/modules/open-platform/server/tenant-plan-binding-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/_plan-change-shared.ts,src/modules/open-platform/server/tenant-plan-change-repository.ts,@/modules/open-platform/server/tenant-plan-change-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/account/route.ts,src/modules/open-platform/server/tenant-account-management-repository.ts,@/modules/open-platform/server/tenant-account-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/account/route.ts,src/modules/open-platform/server/tenant-account-management-service.ts,@/modules/open-platform/server/tenant-account-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/commercial-records/route.ts,src/modules/open-platform/domain/tenant-commercial-records.ts,@/modules/open-platform/domain/tenant-commercial-records,project_inbound,other,domain,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/commercial-records/route.ts,src/modules/open-platform/server/tenant-commercial-records-repository.ts,@/modules/open-platform/server/tenant-commercial-records-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/plan-change-preview/route.ts,src/modules/open-platform/server/tenant-plan-change-service.ts,@/modules/open-platform/server/tenant-plan-change-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/tenants/[tenantId]/plan-change/route.ts,src/modules/open-platform/server/tenant-plan-change-service.ts,@/modules/open-platform/server/tenant-plan-change-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/tenants/route.ts,src/modules/open-platform/server/tenant-plan-binding-repository.ts,@/modules/open-platform/server/tenant-plan-binding-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/tenants/route.ts,src/modules/open-platform/server/tenant-plan-binding-service.ts,@/modules/open-platform/server/tenant-plan-binding-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/trial-data-reset/route.ts,src/modules/open-platform/server/trial-data-reset-service.ts,@/modules/open-platform/server/trial-data-reset-service,project_inbound,other,server_service,no,no
src/app/uploads/homepage-brand/[kind]/[filename]/route.ts,src/modules/open-platform/server/homepage-brand-asset-storage.ts,@/modules/open-platform/server/homepage-brand-asset-storage,project_inbound,other,server_repository,no,no
src/app/uploads/homepage-brand/[kind]/[filename]/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/modules/institution/domain/institution-knowledge-management.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,cross_module_inbound,domain,server_service,no,no
src/modules/institution/server/institution-ai-call-service.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,cross_module_inbound,server_service,server_repository,no,no
src/modules/institution/server/institution-knowledge-file-management-service.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,@/modules/open-platform/server/platform-knowledge-file-management-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-file-parsing-service.ts,src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,@/modules/open-platform/server/platform-knowledge-document-parsing-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-file-parsing-service.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,@/modules/open-platform/server/platform-knowledge-file-management-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-keyword-search-service.ts,src/modules/open-platform/server/platform-knowledge-keyword-search-service.ts,@/modules/open-platform/server/platform-knowledge-keyword-search-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-management-service.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,cross_module_inbound,server_service,server_repository,no,no
src/modules/institution/server/institution-knowledge-qa-service.ts,src/modules/open-platform/server/platform-knowledge-qa-service.ts,@/modules/open-platform/server/platform-knowledge-qa-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-rag-answer-service.ts,src/modules/open-platform/server/platform-knowledge-embedding-vector-search-service.ts,@/modules/open-platform/server/platform-knowledge-embedding-vector-search-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-rag-answer-service.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,cross_module_inbound,server_service,server_repository,no,no
src/modules/institution/server/institution-knowledge-upload-service.ts,src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,@/modules/open-platform/server/platform-knowledge-document-parsing-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-upload-service.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,@/modules/open-platform/server/platform-knowledge-file-management-service,cross_module_inbound,server_service,server_service,no,no
src/modules/institution/server/institution-knowledge-upload-service.ts,src/modules/open-platform/server/platform-knowledge-indexing-job-service.ts,@/modules/open-platform/server/platform-knowledge-indexing-job-service,cross_module_inbound,server_service,server_service,no,no
